Sl no.,AX ID,Workshop Names,Location,Country,Agent,Corporate Type
80,AX1772430075120,FINE MOTORS,LUCKNOW,India,Danya,General
81,AX1751629831276,SWISH AUTO CARE,Vadodara,India,Danya,General
82,AX1774869118579,POORVI AUTOMOBILE SERVICES,New Delhi,India,Rakesh,General
83,AX1721217840122,SRI MARUTHI AUTOMOBILES AND GARAGE,Bangalore,India,Basava,General
84,AX1753350774315,SRI POONGA MOTORS,Chennai,India,Unnimaya,General
85,AX1763447289830,GLOBAL MOTORS,Chennai,India,Unnimaya,General
86,AX1752053008623,YUNAY AUTOMOBILES,NAGPUR,India,Sashikala,General
87,AX1767938275923,HERITAGE AUTOPARK,Agra,India,Danya,General
88,AX1735024537564,PRASAD AUTOMOBILE,Muzaffarpur,India,Veeresh,General
89,AX1776314990602,SONU MOTORS,Balangir,India,Veeresh,General
90,AX1777360306701,AUTO 360,Near Fortis J K Hospital,India,Aniketh,BOSCH
91,AX1768294167594,K AND M MOTORS WERKE LLP,Dombivali,India,Sashikala,General
92,AX1761886079841,SUBRA MOTOR,Chennai,India,Unnimaya,General
93,AX1755583980171,BRV EXOTICS,North Coorg,India,Basava,General
94,AX1775453920714,LUCKY CAR ACCESSORIES,Dehradun,India,Danya,General
95,AX1751975115179,KRISHI AUTO WORLD,Boisar,India,Danya,General
96,AX1762769205321,RAGHAVA MOTORS,Chennai,India,Unnimaya,General
97,AX1761286060559,J.S. MOTORS,Varanasi,India,Danya,General
98,AX1769492175336,LAND MAX AUTO SERVICE CENTRE PVT. LTD,Thane,India,Danya,General
99,AX1772883739791,RENUKA MOTORS,Aurangabad,India,Aniketh,General
100,AX1754975264134,SHRI LAXMI TYRES,Greater Noida,India,Danya,General
101,AX1764151179086,NALIYATH CAR CARE CENTRE,Ernakulam,India,Unnimaya,General
102,AX1765343407526,PITSTOP AUTO SERVICE,Adoor,India,Unnimaya,General
103,AX1767694857065,A R GERMAN MOTORS,Hyderabad,India,Sashikala,General
104,AX1765452585815,CHENNAI CAR CARE,Chennai,India,Unnimaya,General
105,AX1738229701780,MOTOR HEAD AUTOMOBILE,NR Sukhadia Circle,India,Danya,General
106,AX1748854681961,SHAKUNTALA ENTERPRISES,Kasba Mangoli Road,India,Basava,General
107,AX1743656244772,MUSCAT MOTORS,Chennai,India,Unnimaya,General
108,AX1765357956677,QUTAB AUTOMOBILES,Near ESI Hospital,India,Danya,General
109,AX1765344435093,QUTAB AUTO PRIVATE LIMTED,Village Jharsa,India,Danya,General
110,AX1778740341175,THE CARS COIMBATORE,Coimbatore,India,Unnimaya,General
111,AX1759990908555,ARADYA CARS,NH 206,India,Sashikala,General
112,AX1725015406048,VASANT MOTORS,Hyderabad,India,Sashikala,General
113,AX1749454762519,MOZUMDER AUTOMOBILES,Durgapur,India,Danya,General
114,AX1777015227496,EVOLVE AUTOMOTIVE,Chennai,India,Unnimaya,General
115,AX1776488162086,THE CRAZY CARS,Bengaluru,India,Veeresh,General
116,AX1755077948236,RN ENTERPRENEURSHIP,Bangalore,India,Veeresh,General
117,AX1754463770232,PROFESSIONAL CAR CARE,Pune,India,Danya,General
118,AX1776859998401,NAVEEN MOTORS,BOGADI VILLAGE,India,Aniketh,General
119,AX1771909954761,SAI AUTO SALES & SERVICES,CHARODA-BHILAI3,India,Danya,General
120,AX1760685747327,RELIABLE AUTO SERVICES,Nashik,India,Danya,General
121,AX1761633000592,UNIQUE AUTOMOBILES,Ulhasanagar,India,Danya,General
122,AX1767089300576,MARIYAM ALL CAR SERVICES CENTER,Thiruvananthapuram,India,Unnimaya,General
123,AX1754483771031,TIWANA AUTOMOBILES,",",India,Veeresh,General
124,AX1758880126000,BHAWANI MOTORS,Bhopal,India,Veeresh,General
125,AX1753339598317,ASHISH AUTOMOBILES,Alibag,India,Danya,General
126,AX1756459239926,AUTONATION CUSTOM,Haryana,India,Danya,General
127,AX1753262108208,DELHI AUTOMOBILES,Gurgaon,India,Danya,General
128,AX1762851156905,ADVANCE AUTO,Gurgaon,India,Danya,General
129,AX1761029106638,RAVI AUTOMOBILES,Vizianagaram,India,Rakesh,General
130,AX1770811585368,ABHI ENTERPRISES (AUTO LAVAADO),Lucknow,India,Danya,General
131,AX1775889559044,MV MOTORS,Chennai,India,Unnimaya,General
132,AX1769226884061,AL AMANA THE COMPLETE CAR SOLUTION,KUTTIADI,India,Unnimaya,General
133,AX1749708125629,TASCO MOTORS,Bhubaneswar,India,Danya,General
134,AX1755085786770,AKSHAY AUTOMOBILES,Pune,India,Danya,General
135,AX1774865138376,POPULAR AUTOMOBILES,East Godavari,India,Rakesh,General
136,AX1779095461122,BHAVYA MOTORS & WORKSHOP,Sehore,India,Danya,General
137,AX1757998259246,DEWY MOTORS,Chennai,India,Unnimaya,General
138,AX1758196356989,ER AUTOMOTIVE,RAJAHMUNDRY,India,Rakesh,General
139,AX1757394951048,DEPALPUR MOTORS,Indore,India,Veeresh,General
140,AX1751960275385,MAA KRIPPA AUTO MOTORS,Bhopal,India,Veeresh,General
141,AX1771303725234,ATOZ AUTOMOBILES,"Roorkee,01332271500",India,Danya,General
142,AX1760426760401,MAA KALI AUTOMOTIVE,Darjeeling,India,Danya,General
143,AX1762246846320,AXLE MOTORS,Chinchpur,India,Sashikala,General
144,AX1752756823015,TRAVANCORE MOTORS PVT LTD,Thiruvananthapuram,India,Unnimaya,General
145,AX1770382760777,AUTO HEAVEN,South West Delhi,India,Rakesh,General
146,AX1778758282556,CARS 99,Chidambaram,India,Unnimaya,General
147,AX1751957982678,ALLIED MOTORS,Kanpur,India,Danya,General
148,AX1772952914634,PRIME CAR CARE,Chennai,India,Unnimaya,General
149,AX1773386079315,JANGID MOTORS,Mandsaur,India,Danya,General
150,AX1766738345482,ASHIRWAD MOTORS,Rewari,India,Danya,General
151,AX1773982163228,SHREENATH AUTOMOBILES.,GAUTAM BUDH NAGAR,India,Aniketh,General
152,AX1757312131796,SHITAL MOTORS,Digha,India,Veeresh,General
153,AX1775810582854,MAAMALAI AUTOMOBILES,Thoothukudi,India,Unnimaya,General
154,AX1747829394251,SILENT MOTOR,Surat,India,Aniketh,General
155,AX1758699747458,MAHALAXMI MOTORS,Mumbai,India,Danya,General
156,AX1727690833204,GURUDEO MOTOR,PAKUR,India,Aniketh,General
157,AX1772954499378,SUPER CAR CARE,Chennai,India,Unnimaya,General
158,AX1776063841776,THANGAVEL MOTORS,Theni,India,Unnimaya,General
159,AX1757312478429,APT AUTOMOTIVES,Hafeezpet,India,Sashikala,General
160,AX1728380341576,SUN MOTORS,Karimnagar,India,Sashikala,General
161,AX1775282512054,(SMRITI RS AUTOMOBILE SERVICE CENTER PRIVATE LIMITED),Patna,India,Aniketh,General
162,AX1777009453934,AUTOPARK,Trivandrum,India,Unnimaya,General
163,AX1750058728183,SKILTECH CAR CARE,Kollam,India,Unnimaya,General
164,AX1760682681528,KHAN AUTOMOBILES,Mahoba,India,Aniketh,General
165,AX1766734137300,AUTO SCOPE CARS PVT LTD,Pune,India,Sashikala,General
166,AX1776237962688,CRK AUTOMOBILES,Mumbai,India,Danya,General
167,AX1761801557117,VIVEK SERVICES,Buxar,India,Veeresh,General
168,AX1774862892806,SIYA RAM MOTORS,Mathura,India,Aniketh,General
169,AX1759915716512,SKILL CAR SERVICES,KOTHAGUDEM,India,Sashikala,General
170,AX1760504898375,INTEGRATING AUTOMOBILES PRIVATE LIMITED,LB Nagar,India,Sashikala,General
171,AX1759821188665,DREAM CARS,Puthiyanirathu,India,Unnimaya,General
172,AX1776150928700,MAA KRUPA AUTO CARE,Surat,India,Aniketh,General
173,AX1769062599655,JD KONCEPT AUTOMOBILES,Greater Noida,India,Aniketh,General
174,AX1758001082582,GANAS CAR BUCKS,Hyderabad,India,Sashikala,General
175,AX1758085253845,AUTONATION,Delhi,India,Rakesh,General
176,AX1761223711404,MAHALAXMI MOTORS,Navi Mumbai,India,Aniketh,General
177,AX1759209464452,APTE'S SHREE AUTO SERVICE,Pune,India,Aniketh,General
178,AX1771570483405,PSN & SONS,Chennai,India,Unnimaya,General
179,AX1758276400813,RENUKA MOTORS,Hyderabad,India,Rakesh,General
180,AX1764824392675,BABA MOTORS,Delhi,India,Rakesh,General
181,AX1755509464091,VISHWAS MOTORS,Jodhpur,India,Aniketh,General
182,AX1768375665460,SD MOTORS,Hyderabad,India,Rakesh,General
183,AX1765194405889,CARS DOCTOR,Hyderabad,India,Rakesh,General
184,AX1756459174519,PRASAD MOTORS,Keshod,India,Rakesh,General
185,AX1755680679384,D A S AUTO SERVICES,Nashik,India,Danya,General
186,AX1753871765341,FRIENDS MOTOR,Noida,India,Aniketh,General
187,AX1779257351229,SNS MOTORS MYSORE,Mysore,India,,General
188,AX1753164803935,AYYAPPA MULTI CARS,Tumkur,India,Basava,General
189,AX1740977082806,SPEED MACHINE MOTOR WORKS,Mumbai,India,Sashikala,General
190,AX1763548018861,XTREME TIRE CARE,Bangalore,India,Veeresh,General
191,AX1762233889216,MAA AUTOMOBILES,JAUNPUR,India,Aniketh,General
192,AX1761647428904,NANUAN'S,Mohali SAS Nagar,India,Veeresh,General
193,AX1769771481921,EXPRESS AUTO SERVICE,Pune,India,Danya,General
194,AX1763978671890,3G CAR CARE,Chitradurga,India,Sashikala,General
195,AX1765343601998,VENKATA SAI WHEELS & TYRES,Hyderabad,India,Rakesh,General
196,AX1757410681807,AUTO DOC,MUMBAI,India,Danya,General
197,AX1730706443026,AUTO BOOST,Ahemedabad,India,Aniketh,General
198,AX1762148740939,SHIRDI SUKHYAN MOTORS,Hyderabad,India,Rakesh,General
199,AX1769057778320,SATGURU CAR SERVICE,Mumbai,India,Danya,General
200,AX1751622014026,CHAURASIA AUTOMOBILES,Dewas,India,Veeresh,General
201,AX1754384400965,SAI KAR CARE,MYSORE,India,Basava,General
202,AX1758538363566,SS MOTORSIN,Bangalore,India,Basava,General
203,AX1759912360138,MNC AUTOMOBILES,Rajamahendravaram,India,Rakesh,General
204,AX1750913701767,SRIRAM TYRE CENTRE,Udupi,India,Aniketh,General
205,AX1770102599072,HARI AUTOMOBILES,Ghaziabad,India,Aniketh,General
206,AX1767700084554,A TO Z CAR SERVICE,Rajkot,India,Aniketh,General
207,AX1755583659072,SHYAM MOTORS,SAVARKUNDLA,India,Aniketh,General
208,AX1765950538559,CAR CARE SERVICE POINT,Bhawarna (Bari),India,Aniketh,General
209,AX1761200465481,SHILPA WHEELS,Malkapur,India,Danya,General
210,AX1766127076303,GANA MOTORS,SHIMOGA,India,Veeresh,General
211,AX1758275800728,NSR AUTOMOTIVE,Mumbai,India,Danya,General
212,AX1724310040841,RK MOTORS,Chennai,India,Unnimaya,General
213,AX1725015545501,VASANT MOTORS,Hyderabad,India,Sashikala,General
214,AX1758098606273,VINAYAKA MOTORS,Hassan,India,Basava,General
215,AX1777887973330,SRIRAM TYRE CENTRE,Udupi,India,Aniketh,General
216,AX1759819288906,VASANT MOTORS EXCLUSIVE,Visakhapatnam,India,Sashikala,General
217,AX1662096145844,G MOTORSG MOTORSG,Hyderabad,India,Sashikala,General
218,AX1761886830470,SRI BALAJI CAR CARE,Tumkur,India,Basava,General
219,AX1765368856069,WE CARE AUTOMOBILES,Lucknow,India,Aniketh,General
220,AX1776334664900,SWASTIKAA AUTO CENTRES,Bengaluru,India,Basava,General
221,AX1754283799454,OM MURUGA AUTO CARE,Coimbatore,India,Unnimaya,General
222,AX1770097569760,SREE MOTORS,Hyderabad,India,Sashikala,General
223,AX1758541614019,AUTOMANTRA PITSTOP,Kota,India,Aniketh,General
224,AX1771577369417,NARMADA MOTORS,Narmadapuram,India,Veeresh,General
225,AX1762863779398,BHAGIRATH AUTOMOBILES,Gwalior,India,Veeresh,General
226,AX1773401424500,SRI VISHNU SAAYEE,Chennai,India,Unnimaya,General
227,AX1774690550395,DREAM CAR SOLUTIONS INDIA,Gwalior,India,Veeresh,General
228,AX1779086416312,SM CAR CARE,Ahmedabad,India,Aniketh,General
229,AX1769756572130,RAJASTHAN AUTO WORKS,Gurgaon,India,Danya,General
230,AX1766055914910,CAR DOCTORS,Gurgaon,India,Danya,General
231,AX1753780469912,PUNJAB MOTORS,Purnea,India,Veeresh,General
232,AX1762007306888,RUSHABH TRADING CORPORATION,Surat,India,Aniketh,General
233,AX1765793818062,SWASTIKAA MOTORS,Bangalore,India,Basava,General
234,AX1758109794000,AUTO CARE,Tal. Panvel,India,Danya,General
235,AX1771397455393,NEW GURMEET MOTORS,Ludhiana,India,Veeresh,General
236,AX1750928062209,HEERA MOTORS,Raichur,India,Basava,General
237,AX1762326003007,SRI SAI RAM MOTORS,Warangal,India,Sashikala,General
238,AX1753424784973,VIHAN CAR CARE,Karimnagar,India,Sashikala,General
239,AX1748608970121,SHREE TRIZENT CAR CARE,BANGALORE,India,Basava,General
240,AX1758782211175,PRINCE MULTI CAR SERVICE CENTRE,Thane,India,Danya,General
241,AX1763548099222,AGRIYAA AUTO GARAGE,Chennai,India,Unnimaya,General
242,AX1764401237591,DEV AUTO CARE,Vadodara,India,Aniketh,General
243,AX1752063112943,LAASYASRI ENTERPRISES,Hyderabad,India,Sashikala,General
244,AX1760705124347,LUCKY MOTORS,Ahemdabad,India,Aniketh,General
245,AX1764320146292,CAR COMMANDERS,Hyderabad,India,Sashikala,General
246,AX1770179396913,PREMIER CARS,Kottayam,India,Unnimaya,General
247,AX1727765996850,SK ALINZ,GADHINGLAJ,India,Danya,General
248,AX1750913564001,VISHNU MOTORS,Bangalore,India,Basava,General
249,AX1769083494092,RADHE AUTOLINK,Nr. Essar Petrol Pump,India,Aniketh,General
250,AX1753771788143,JDR MOTORS,Y.S.R. Dist,India,Sashikala,General
251,AX1768900389368,B S AUTO,Jalpaiguri,India,Aniketh,General
252,AX1776146906930,VIDHATHA WHEEL ALIGNMENT,Guntur,India,Sashikala,General
253,AX1753878451082,TEAM KENZON,Manjeri,India,Unnimaya,General
254,AX1766991962378,SUKOVE ENTERPRISES,CHICKABALLAPUR,India,Basava,General
255,AX1762163391291,AUTO PROFESSIONAL,Noida,India,Aniketh,General
256,AX1751447174968,VARADA AUTOCRAFT,Belagavi,India,Basava,General
257,AX1763985838653,SRI CHAKRA TYRES,Adoni,India,Sashikala,General
258,AX1764137873687,MECHANIX,Vijayawada,India,Sashikala,General
259,AX1757928405804,CAR PULZE AUTOMOBILES,Kangeyampalayam Sulur,India,Unnimaya,General
260,AX1753939088390,DIGAMBAR AUTO WORKSHOP,BHUBANESWAR,India,Veeresh,General
261,AX1761368645839,RUSHIKESH AUTOMOBILE,Raigad,India,Danya,General
262,AX1778736503530,WINDSHIELD TRUST,Bengaluru,India,Basava,General
263,AX1764574441336,STUNNERZ AUTO HUB,Hyderabad,India,Rakesh,General
264,AX1719825460577,ALPHA AUTO CARE,Tirupur,India,Unnimaya,General
265,AX1776081240750,GAJAN MOTORS,BANGALORE,India,Basava,General
266,AX1768539477194,SRI SAI VENKATESHWARA SERVICES,Nizamabad,India,Rakesh,General
267,AX1774415340236,BEYOND AUTO CARE,Khammam,India,Rakesh,General
268,AX1769687923567,CARNATIONS,Kangra,India,Veeresh,General
269,AX1768900342998,FOUR WHEELS AUTO CARE,Ahmednagar,India,Aniketh,General
270,AX1776245530673,AUTONEXT,Ahmednagar,India,Danya,BOSCH
271,AX1766127848889,DOE MOTORS,Magadi,India,Basava,General
272,AX1770621256099,DOLPHIN CAR SPA,Garhwa,India,Veeresh,General
273,AX1776834665652,BEST CARS SERVICE,GUDUR,India,Rakesh,General
274,AX1765191725285,FAST TRACK,Kasaragod,India,Unnimaya,General
275,AX1766750392587,EXCEL MOTORS,Pathanamthitta,India,Unnimaya,General
276,AX1734429349528,ONE STOP AUTO SPA,Kolkata,India,Veeresh,General
277,AX1765616109645,ROAD RUNNERS CHECK POINT,Chennai,India,Unnimaya,General
278,AX1762931507922,INDIA MOTORS,Ludhiana,India,Veeresh,General
279,AX1751282239894,SHAMA AUTOMOBILES,Dist - Palwal,India,Danya,General
280,AX1772429542677,SPARK TECH,Coimbatore,India,Unnimaya,General
281,AX1774243309369,ANY TIME SERVICE CENTER,Visakhapatnam,India,Rakesh,General
282,AX1750222101998,INDUS MOTORS,Puducherry,India,Unnimaya,General
283,AX1750075539737,GLOBE WHEEL ALIGNMENT,Udupi,India,Basava,General
284,AX1756979324991,SRI RAJA RAJESWARI,Nellore,India,Rakesh,General
285,AX1774947743982,MCC MOTOR SERVICES,CHENNAI,India,Unnimaya,General
286,AX1776407506052,NC AUTO GARAGE,MALAPPURAM,India,Unnimaya,General
287,AX1755322781950,CENTRAL CAR CARE,Visakhapatnam,India,Rakesh,General
288,AX1727955351437,TRY AUTO GEARS PRIVATE LIMITED,Udupi,India,Basava,General
289,AX1750943704991,BALAJI AUTO CARE,Distt. Shimla,India,Veeresh,General
290,AX1772345554738,ACE CARS,Hyderabad,India,Rakesh,General
291,AX1767598789650,PRIME CAR SERVICE,Coimbatore,India,Unnimaya,General
292,AX1776170124967,FAVOURITE MOTORS PRIVATE LIMITED,"South Bopal, Ahmedabad",India,Aniketh,General
293,AX1774931833400,PLANET MOTORS,Mysore,India,Sashikala,General
294,AX1752756682748,TVC MOTORS,Thiruvananthapuram,India,Unnimaya,General
295,AX1768972094423,DIGAMBAR AUTO WORKSHOP,Puri,India,Veeresh,General
296,AX1778495534732,YASH MOTORS,Surat,India,Aniketh,General
297,AX1771313596479,SRI SAI AUTO CRAFTS,Hyderabad,India,Rakesh,General
298,AX1774440231790,FULL THROTTLE MOTORS,Chennai,India,Unnimaya,General
299,AX1777026553236,GUJARAT MOTORS,Amreli,India,Aniketh,General
300,AX1778735367881,SHREE GURU AUTO,Pune,India,Danya,General
301,AX1767762809562,OM CAR CARE,Surat,India,Aniketh,General
302,AX1779360297419,CAMA MOTORS PVT LTD,"Ahmedabad, 079-25505281/82/83",India,Aniketh,General
303,AX1761282209104,G L MOTORS,Chennai,India,Unnimaya,General
304,AX1769751400811,SAKSHAM MOTORS,Gautam Budh Nagar,India,Aniketh,General
305,AX1739443192434,NRS MOTORS PVT LTD,Imphal,India,Veeresh,General
306,AX1777035214345,S SQUARE AUTOMOTIVE,Davanagere,India,Sashikala,General
307,AX1753261305652,SAI KAKATIYA AUTO SERVICES,Kodad,India,Rakesh,General
308,AX1754371024646,SRI VENKATESWARA AUTOMOBILES,Nellore,India,Rakesh,General
309,AX1757414365529,EXPERT WHEEL CARE,Visakhapatnam,India,Rakesh,General
310,AX1751519186163,SUNRISE CAR CARE,Bangalore,India,Basava,General
311,AX1748322542640,SRI GURURENUKA AUTOMOBILE,,India,Basava,General
312,AX1769402115733,AHAANA AUTOMOTIVE GLASS,NAVI MUMBAI,India,Sashikala,General
313,AX1769496110230,LAND MAX,Thane,India,Sashikala,General
314,AX1778131619637,JAPANESE MOTORS,Hyderabad,India,Rakesh,General
315,AX1772021877559,BEYOND AUTO CARE,Khammam,India,Rakesh,General
316,AX1753350537458,SANTHOSH CAR CARE,Mysore,India,Basava,General
317,AX1776065083085,YAR ENTERPRISES,Paonta Sahib,India,Veeresh,General
318,AX1761549363440,TRINITY AUTO INDUSTRIES LLP,Pune,India,Sashikala,General
319,AX1761286938824,SUDHIR MOTORS,Seoni,India,Veeresh,General
320,AX1776749199862,DIVYJYOT AUTOMOBILES,Surat,India,Aniketh,General
321,AX1763462813095,STALLION AUTO WORKS,Surat,India,Aniketh,General
322,AX1750059643894,POORVI AUTO WORKS,Noida,India,Aniketh,General
323,AX1767089233535,SAI SERVICE MMT,Navi Mumbai,India,Danya,General
324,AX1724407452883,VASANT MOTORS,Hyderabad,India,Rakesh,General
325,AX1767769689181,PERFECT ENGINE SOLUTIONS,Kochi,India,Unnimaya,General
326,AX1773825615121,LALITS MOTOKRAFT,Udaipur,India,Veeresh,General
327,AX1750913444731,B R K CAR SERVICE CENTER,Sivaganga,India,Unnimaya,General
328,AX1764654492487,VICTORY WINGS,JATH,India,Kavya,General
329,AX1755842714885,SHAKTI AUTOMOBILE,Indore,India,Veeresh,General
330,AX1761291072484,BRITISH MOTORS,Gurgaon,India,Danya,General
331,AX1772531921975,MODERN CAR,"Nasik,",India,Sashikala,General
332,AX1749534833406,POPULAR AUTO SERVICE,Kakinada,India,Rakesh,General
333,AX1750417072661,SKVM AUTOMOBILE,Moradabad,India,Aniketh,General
334,AX1771483210631,TASKFORCE AUTO PVT LTD,Noida,India,Aniketh,General
335,AX1776150109884,EXPRESS AUTOCARE,Thane,India,Sashikala,General
336,AX1771676541646,PREMIUM CAR CARE,Bangalore,India,Basava,General
337,AX1748259833609,VVS AUTOMOTIVE,Srikakulam,India,Rakesh,General
338,AX1771935069611,SUBHIKSHAA CAR CARE,Bangalore,India,Basava,General
339,AX1761306699241,SN MOTORS,Chennai,India,Basava,General
340,AX1755062589861,SARAS MOTORS,Yavatmal,India,Sashikala,General
341,AX1762319456905,SAHIL SISODIYA SERVICES,Patna,India,Veeresh,General
342,AX1778561533273,HARI MOTOR SERVICES (HMS),Bangalore,India,Sashikala,General
343,AX1767338307106,PENTA SERVICES,Pune,India,Sashikala,General
344,AX1759129436480,NEW PRIME CAR WORKSHOP,Biaora,India,Veeresh,General
345,AX1780294159436,VOLKSWSHOP AUTOMOTIVE INDIA PVT LTD,Thrissur,India,Unnimaya,General
346,AX1753428052950,SHIVASHREE AUTOMOTIVES,Muddebihal,India,Basava,General
347,AX1755866058764,GARUDA MOTORS,Hassan,India,Sashikala,General
